MESS_DATUM;TT_TU;color
2022-06-09;17.7;5
2022-06-10;22.0;7
2022-06-11;22.8;7
2022-06-12;21.5;7
2022-06-13;18.9;6
2022-06-14;20.8;6
2022-06-15;25.3;8
2022-06-16;23.0;7
2022-06-17;28.2;8
2022-06-18;32.2;8
2022-06-19;22.2;7
2022-06-20;19.2;6
2022-06-21;21.3;7
2022-06-22;25.8;8
2022-06-23;29.4;8
2022-06-24;23.2;7
2022-06-25;23.8;7
2022-06-26;19.0;6
2022-06-27;20.1;6
2022-06-28;23.3;7
2022-06-29;26.3;8
2022-06-30;24.6;8
2022-07-01;20.0;6
2022-07-02;24.8;8
2022-07-03;22.0;7
2022-07-04;22.9;7
2022-07-05;22.1;7
2022-07-06;20.0;6
2022-07-07;18.7;6
2022-07-08;22.1;7
2022-07-09;23.0;7
2022-07-10;19.0;6
2022-07-11;20.2;6
2022-07-12;27.6;8
2022-07-13;28.8;8
2022-07-14;23.6;7
2022-07-15;20.5;6
2022-07-16;22.1;7
2022-07-17;25.3;8
2022-07-18;32.6;8
2022-07-19;37.8;8
2022-07-20;30.1;8
2022-07-21;19.6;6
2022-07-22;22.3;7
2022-07-23;24.9;8
2022-07-24;30.1;8
2022-07-25;26.3;8
2022-07-26;21.9;7
2022-07-27;19.3;6
2022-07-28;22.5;7
2022-07-29;23.5;7
2022-07-30;24.9;8
2022-07-31;25.3;8
2022-08-01;23.6;7
2022-08-02;28.0;8
2022-08-03;31.0;8
2022-08-04;29.8;8
2022-08-05;21.0;6
2022-08-06;20.6;6
2022-08-07;23.8;7
2022-08-08;24.1;7
2022-08-09;26.4;8
2022-08-10;29.0;8
2022-08-11;29.4;8
2022-08-12;29.5;8
2022-08-13;29.2;8
2022-08-14;30.3;8
2022-08-15;23.2;7
2022-08-16;27.4;8
2022-08-17;22.1;7
2022-08-18;23.6;7
2022-08-19;24.6;8
2022-08-20;23.1;7
2022-08-21;22.9;7
2022-08-22;25.8;8
2022-08-23;28.8;8
2022-08-24;30.8;8
2022-08-25;31.3;8
2022-08-26;19.7;6
2022-08-27;18.5;5
2022-08-28;22.2;7
2022-08-29;21.8;7
2022-08-30;25.6;8
2022-08-31;23.1;7
2022-09-01;24.3;7
2022-09-02;25.7;8
2022-09-03;23.6;7
2022-09-04;26.7;8
2022-09-05;29.1;8
2022-09-06;28.2;8
2022-09-07;23.4;7
2022-09-08;20.8;6
2022-09-09;18.1;5
2022-09-10;17.6;5
2022-09-11;19.9;6
2022-09-12;25.2;8
2022-09-13;23.6;7
2022-09-14;16.7;5
2022-09-15;16.7;5
2022-09-16;13.6;4
2022-09-17;12.9;4
2022-09-18;11.8;3
2022-09-19;15.6;5
2022-09-20;14.9;4
2022-09-21;15.5;4
2022-09-22;18.0;5
2022-09-23;16.7;5
2022-09-24;14.9;4
2022-09-25;15.7;5
2022-09-26;12.7;3
2022-09-27;9.6;2
2022-09-28;11.6;3
2022-09-29;13.8;4
2022-09-30;15.6;5
2022-10-01;17.0;5
2022-10-02;14.1;4
2022-10-03;15.3;4
2022-10-04;18.7;6
2022-10-05;20.5;6
2022-10-06;15.8;5
2022-10-07;16.7;5
2022-10-08;14.7;4
2022-10-09;17.2;5
2022-10-10;18.0;5
2022-10-11;13.8;4
2022-10-12;15.5;4
2022-10-13;15.4;4
2022-10-14;16.0;5
2022-10-15;18.3;5
2022-10-16;18.2;5
2022-10-17;19.8;6
2022-10-18;17.0;5
2022-10-19;14.2;4
2022-10-20;18.4;5
2022-10-21;18.6;5
2022-10-22;17.3;5
2022-10-23;20.0;6
2022-10-24;17.4;5
2022-10-25;15.8;5
2022-10-26;19.8;6
2022-10-27;22.2;7
2022-10-28;23.2;7
2022-10-29;23.4;7
2022-10-30;20.9;6
2022-10-31;19.4;6
2022-11-01;16.7;5
2022-11-02;13.5;4
2022-11-03;14.1;4
2022-11-04;10.5;3
2022-11-05;10.8;3
2022-11-06;10.6;3
2022-11-07;13.5;4
2022-11-08;15.6;5
2022-11-09;13.9;4
2022-11-10;13.5;4
2022-11-11;14.9;4
2022-11-12;18.4;5
2022-11-13;14.9;4
2022-11-14;11.3;3
2022-11-15;12.9;4
2022-11-16;11.8;3
2022-11-17;11.4;3
2022-11-18;10.4;3
2022-11-19;7.5;1
2022-11-20;7.2;1
2022-11-21;7.5;1
2022-11-22;7.9;1
2022-11-23;9.0;2
2022-11-24;10.2;2
2022-11-25;9.8;2
2022-11-26;9.4;2
2022-11-27;9.3;2
2022-11-28;8.7;2
2022-11-29;7.6;1
2022-11-30;5.7;1
2022-12-01;4.6;0
2022-12-02;2.6;0
2022-12-03;1.1;0
2022-12-04;0.8;0
2022-12-05;0.9;0
2022-12-06;3.3;0
2022-12-07;4.3;0
2022-12-08;3.1;0
2022-12-09;1.4;0
2022-12-10;-1.5;0
2022-12-11;-0.1;0
2022-12-12;2.4;0
2022-12-13;-0.7;0
2022-12-14;-0.8;0
2022-12-15;1.1;0
2022-12-16;-1.7;0
2022-12-17;0.2;0
2022-12-18;4.1;0
2022-12-19;11.5;3
2022-12-20;12.0;3
2022-12-21;9.7;2
2022-12-22;10.1;2
2022-12-23;12.4;3
2022-12-24;10.9;3
2022-12-25;12.2;3
2022-12-26;11.2;3
2022-12-27;6.8;1
2022-12-28;10.2;2
2022-12-29;10.6;3
2022-12-30;13.2;4
2022-12-31;15.6;5
