MESS_DATUM;TT_TU;color
2021-01-01;2.9;0
2021-01-02;1.8;0
2021-01-03;1.7;0
2021-01-04;0.9;0
2021-01-05;1.2;0
2021-01-06;1.9;0
2021-01-07;0.7;0
2021-01-08;0.6;0
2021-01-09;0.0;0
2021-01-10;1.5;0
2021-01-11;2.7;0
2021-01-12;6.5;1
2021-01-13;3.6;0
2021-01-14;2.5;0
2021-01-15;-0.2;0
2021-01-16;0.1;0
2021-01-17;4.0;0
2021-01-18;5.0;0
2021-01-19;5.6;1
2021-01-20;9.9;2
2021-01-21;10.4;3
2021-01-22;9.1;2
2021-01-23;5.5;1
2021-01-24;0.0;0
2021-01-25;1.1;0
2021-01-26;2.6;0
2021-01-27;3.4;0
2021-01-28;9.7;2
2021-01-29;9.3;2
2021-01-30;7.0;1
2021-01-31;1.2;0
2021-02-01;4.8;0
2021-02-02;10.1;2
2021-02-03;10.9;3
2021-02-04;9.2;2
2021-02-05;10.2;2
2021-02-06;6.8;1
2021-02-07;1.2;0
2021-02-08;-2.0;0
2021-02-09;-6.0;0
2021-02-10;-4.4;0
2021-02-11;-1.9;0
2021-02-12;-3.3;0
2021-02-13;-0.8;0
2021-02-14;5.6;1
2021-02-15;6.2;1
2021-02-16;12.8;3
2021-02-17;10.3;2
2021-02-18;12.0;3
2021-02-19;10.1;2
2021-02-20;15.5;4
2021-02-21;17.1;5
2021-02-22;17.3;5
2021-02-23;16.9;5
2021-02-24;18.8;6
2021-02-25;18.1;5
2021-02-26;9.4;2
2021-02-27;6.7;1
2021-02-28;9.2;2
2021-03-01;12.0;3
2021-03-02;16.0;5
2021-03-03;15.2;4
2021-03-04;8.4;2
2021-03-05;4.0;0
2021-03-06;5.1;1
2021-03-07;4.8;0
2021-03-08;5.8;1
2021-03-09;4.7;0
2021-03-10;9.5;2
2021-03-11;12.1;3
2021-03-12;8.1;2
2021-03-13;8.5;2
2021-03-14;6.8;1
2021-03-15;7.1;1
2021-03-16;5.5;1
2021-03-17;4.9;0
2021-03-18;5.1;1
2021-03-19;5.9;1
2021-03-20;6.3;1
2021-03-21;6.3;1
2021-03-22;6.5;1
2021-03-23;10.4;3
2021-03-24;14.8;4
2021-03-25;11.1;3
2021-03-26;14.2;4
2021-03-27;8.5;2
2021-03-28;13.8;4
2021-03-29;19.8;6
2021-03-30;21.3;7
2021-03-31;24.0;7
2021-04-01;19.6;6
2021-04-02;7.7;1
2021-04-03;9.8;2
2021-04-04;7.8;1
2021-04-05;5.5;1
2021-04-06;1.4;0
2021-04-07;2.8;0
2021-04-08;7.0;1
2021-04-09;12.8;3
2021-04-10;9.9;2
2021-04-11;9.4;2
2021-04-12;5.4;1
2021-04-13;7.6;1
2021-04-14;7.4;1
2021-04-15;7.9;1
2021-04-16;9.6;2
2021-04-17;11.0;3
2021-04-18;12.2;3
2021-04-19;9.8;2
2021-04-20;15.4;4
2021-04-21;15.6;5
2021-04-22;11.1;3
2021-04-23;12.8;3
2021-04-24;12.5;3
2021-04-25;10.5;3
2021-04-26;12.7;3
2021-04-27;14.5;4
2021-04-28;18.3;5
2021-04-29;11.2;3
2021-04-30;11.6;3
2021-05-01;11.2;3
2021-05-02;9.9;2
2021-05-03;13.5;4
2021-05-04;13.0;4
2021-05-05;10.2;2
2021-05-06;9.8;2
2021-05-07;11.4;3
2021-05-08;17.3;5
2021-05-09;25.9;8
2021-05-10;21.3;7
2021-05-11;15.1;4
2021-05-12;15.6;5
2021-05-13;16.1;5
2021-05-14;15.1;4
2021-05-15;12.9;4
2021-05-16;14.7;4
2021-05-17;13.9;4
2021-05-18;15.4;4
2021-05-19;12.4;3
2021-05-20;15.2;4
2021-05-21;16.6;5
2021-05-22;10.4;3
2021-05-23;14.3;4
2021-05-24;13.9;4
2021-05-25;11.0;3
2021-05-26;13.3;4
2021-05-27;12.6;3
2021-05-28;16.3;5
2021-05-29;18.2;5
2021-05-30;19.6;6
2021-05-31;21.7;7
2021-06-01;23.0;7
2021-06-02;27.1;8
2021-06-03;23.2;7
2021-06-04;23.5;7
2021-06-05;16.3;5
2021-06-06;17.3;5
2021-06-07;18.8;6
2021-06-08;22.9;7
2021-06-09;24.4;8
2021-06-10;24.7;8
2021-06-11;24.9;8
2021-06-12;20.9;6
2021-06-13;21.6;7
2021-06-14;26.4;8
2021-06-15;24.1;7
2021-06-16;29.5;8
2021-06-17;30.9;8
2021-06-18;30.1;8
2021-06-19;27.0;8
2021-06-20;24.1;7
2021-06-21;17.7;5
2021-06-22;13.5;4
2021-06-23;15.6;5
2021-06-24;19.2;6
2021-06-25;21.2;6
2021-06-26;23.9;7
2021-06-27;24.8;8
2021-06-28;23.1;7
2021-06-29;22.2;7
2021-06-30;14.7;4
2021-07-01;15.6;5
2021-07-02;21.6;7
2021-07-03;24.0;7
2021-07-04;21.1;6
2021-07-05;18.8;6
2021-07-06;20.5;6
2021-07-07;21.6;7
2021-07-08;20.1;6
2021-07-09;21.2;6
2021-07-10;21.6;7
2021-07-11;20.9;6
2021-07-12;22.1;7
2021-07-13;18.6;5
2021-07-14;17.7;5
2021-07-15;17.9;5
2021-07-16;17.1;5
2021-07-17;23.8;7
2021-07-18;24.7;8
2021-07-19;21.0;6
2021-07-20;21.3;7
2021-07-21;23.2;7
2021-07-22;23.7;7
2021-07-23;23.9;7
2021-07-24;21.4;7
2021-07-25;24.9;8
2021-07-26;22.1;7
2021-07-27;22.3;7
2021-07-28;20.2;6
2021-07-29;19.8;6
2021-07-30;23.3;7
2021-07-31;19.1;6
2021-08-01;17.7;5
2021-08-02;17.7;5
2021-08-03;16.8;5
2021-08-04;20.6;6
2021-08-05;22.4;7
2021-08-06;20.5;6
2021-08-07;20.4;6
2021-08-08;18.4;5
2021-08-09;19.4;6
2021-08-10;21.3;7
2021-08-11;22.6;7
2021-08-12;26.0;8
2021-08-13;23.9;7
2021-08-14;23.9;7
2021-08-15;26.0;8
2021-08-16;17.4;5
2021-08-17;15.1;4
2021-08-18;17.8;5
2021-08-19;17.4;5
2021-08-20;20.7;6
2021-08-21;24.4;8
2021-08-22;18.7;6
2021-08-23;19.0;6
